1	17
2	3
3	8
4	3
5	5
6	2
7	2
8	1
9	4
10	2
11	1
12	5
13	11
14	5
15	5
16	4
17	3
18	3
19	0
20	3
21	3
22	0
23	2
24	6
25	1
26	3
27	6
28	5
29	2
30	5
31	3
32	8
33	2
34	13
35	4
36	1
37	8
38	9
39	12
40	50
41	76
42	84
43	122
44	114
45	183
46	137
47	129
48	102
49	108
50	115
51	164
52	174
53	192
54	158
55	109
56	92
57	93
58	83
59	89
60	69
61	50
62	5
63	3
64	5
65	7
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	2
94	1
95	1
96	2
97	0
98	2
99	0
100	1
101	0
102	2
103	0
104	2
105	0
106	1
107	0
108	1
109	0
110	0
111	0
112	1
113	0
114	3
115	1
116	0
117	0
118	2
119	0
120	0
121	0
122	1
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	1
150	1
151	1
152	0
153	0
154	1
155	1
156	0
157	1
158	0
159	1
160	3
161	4
162	1
163	3
164	0
165	1
166	1
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	1
198	1
199	0
200	1
