fromNode	toNode	weight	direction	fromAltName	toAltName
MMT00000080	MMT00049029	0.0987531594280127	undirected	Ldb2	LOC14433
MMT00000080	MMT00049213	0.0548902382177466	undirected	Ldb2	NA
MMT00000080	MMT00049308	0.0987925205488902	undirected	Ldb2	NA
MMT00000080	MMT00049472	0.0680814240040278	undirected	Ldb2	NA
MMT00000080	MMT00051462	0.0633606196339205	undirected	Ldb2	NA
MMT00000080	MMT00051968	0.0451414728395084	undirected	Ldb2	NA
MMT00000080	MMT00052902	0.0938153688374144	undirected	Ldb2	NA
MMT00000080	MMT00053214	0.0729111662119845	undirected	Ldb2	NA
MMT00000080	MMT00053707	0.0770678844527697	undirected	Ldb2	NA
MMT00000080	MMT00054019	0.0550427507758145	undirected	Ldb2	Hoxa10
MMT00000080	MMT00054037	0.0541754795382127	undirected	Ldb2	NA
MMT00000080	MMT00054062	0.050521441488788	undirected	Ldb2	NA
MMT00000080	MMT00054175	0.049795821480457	undirected	Ldb2	NA
MMT00000080	MMT00054192	0.0848858876588748	undirected	Ldb2	NA
MMT00000080	MMT00054244	0.0651203006471856	undirected	Ldb2	NA
MMT00000080	MMT00055016	0.0697583821131908	undirected	Ldb2	NA
MMT00000080	MMT00057439	0.10157438805691	undirected	Ldb2	NA
MMT00000080	MMT00057721	0.0498244270905446	undirected	Ldb2	NA
MMT00000080	MMT00057793	0.090351183508398	undirected	Ldb2	NA
MMT00000080	MMT00058428	0.102124558653318	undirected	Ldb2	NA
MMT00000080	MMT00058696	0.272055469576779	undirected	Ldb2	Hoxd11
MMT00000080	MMT00060321	0.0935200996544628	undirected	Ldb2	NA
MMT00000080	MMT00062394	0.0947247505054987	undirected	Ldb2	NA
MMT00000080	MMT00062445	0.100575110051627	undirected	Ldb2	NA
MMT00000080	MMT00062559	0.0532047838560018	undirected	Ldb2	NA
MMT00000080	MMT00062691	0.0563452984131215	undirected	Ldb2	NA
MMT00000080	MMT00063091	0.0522424396719116	undirected	Ldb2	NA
MMT00000080	MMT00063259	0.231387257444527	undirected	Ldb2	NA
MMT00000080	MMT00063655	0.0280656443727019	undirected	Ldb2	NA
MMT00000080	MMT00065054	0.0702600992832439	undirected	Ldb2	NA
MMT00000080	MMT00065461	0.0727878471845977	undirected	Ldb2	NA
MMT00000080	MMT00065577	0.0843745044680768	undirected	Ldb2	NA
MMT00000080	MMT00065736	0.026039717302017	undirected	Ldb2	Cyp2b9
MMT00000080	MMT00067207	0.0778592378425159	undirected	Ldb2	NA
MMT00000080	MMT00067282	0.0683039989275249	undirected	Ldb2	NA
MMT00000080	MMT00068427	0.0896458796383209	undirected	Ldb2	NA
MMT00000080	MMT00068456	0.0702248035532142	undirected	Ldb2	NA
MMT00000080	MMT00068464	0.0476048120569771	undirected	Ldb2	NA
MMT00000080	MMT00069495	0.0731405278452649	undirected	Ldb2	NA
MMT00000080	MMT00069610	0.214895508071689	undirected	Ldb2	Hoxc12
MMT00000080	MMT00071096	0.0758868716321062	undirected	Ldb2	NA
MMT00000080	MMT00071569	0.0634383434870116	undirected	Ldb2	NA
MMT00000080	MMT00072546	0.0648821578303164	undirected	Ldb2	NA
MMT00000080	MMT00073452	0.107043713996766	undirected	Ldb2	NA
MMT00000080	MMT00073733	0.100991584036039	undirected	Ldb2	NA
MMT00000080	MMT00074099	0.0775236975572468	undirected	Ldb2	NA
MMT00000080	MMT00074600	0.0474570988706696	undirected	Ldb2	NA
MMT00000080	MMT00075271	0.0630809734245912	undirected	Ldb2	NA
MMT00000080	MMT00075384	0.0787048184584706	undirected	Ldb2	NA
MMT00000080	MMT00075578	0.0777231713263208	undirected	Ldb2	NA
MMT00000080	MMT00075628	0.0549457023648259	undirected	Ldb2	NA
MMT00000080	MMT00075993	0.0948720904483398	undirected	Ldb2	Mylc2pl
MMT00000080	MMT00078566	0.0907369388888828	undirected	Ldb2	NA
MMT00000080	MMT00078657	0.0303128038742505	undirected	Ldb2	Cts7
MMT00000080	MMT00078909	0.084824642773395	undirected	Ldb2	NA
MMT00000080	MMT00079617	0.089827150367823	undirected	Ldb2	NA
MMT00000080	MMT00081013	0.102349737809968	undirected	Ldb2	NA
MMT00000080	MMT00081299	0.0415032527197381	undirected	Ldb2	Gapds
MMT00000080	MMT00082316	0.0713264081040589	undirected	Ldb2	NA
MMT00000241	MMT00000268	0.361873807149876	undirected	NA	NA
MMT00000241	MMT00000719	0.0339485561035679	undirected	NA	Snrpa
MMT00000241	MMT00000792	0.22675634062803	undirected	NA	NA
MMT00000241	MMT00001110	0.0526934051382365	undirected	NA	Galt
MMT00000241	MMT00001291	0.136551416463106	undirected	NA	NA
MMT00000241	MMT00001423	0.401107780390268	undirected	NA	NA
MMT00000241	MMT00001545	0.210978085128639	undirected	NA	NA
MMT00000241	MMT00001732	0.171087003068133	undirected	NA	NA
MMT00000241	MMT00002004	0.394560130250866	undirected	NA	LOC14433
MMT00000241	MMT00002048	0.332640781016156	undirected	NA	NA
MMT00000241	MMT00002521	0.366000209440482	undirected	NA	NA
MMT00000241	MMT00003672	0.10903925139382	undirected	NA	Ube2m
MMT00000241	MMT00004841	0.150418879496874	undirected	NA	NA
MMT00000241	MMT00005030	0.0399278929317518	undirected	NA	Golph3
MMT00000241	MMT00006374	0.387401823277612	undirected	NA	NA
MMT00000241	MMT00006397	0.345416724640884	undirected	NA	NA
MMT00000241	MMT00006515	0.170081342443992	undirected	NA	NA
MMT00000241	MMT00008045	0.0246984670101338	undirected	NA	Tpm3
MMT00000241	MMT00008174	0.133783117621089	undirected	NA	NA
MMT00000241	MMT00008457	0.0204787698286601	undirected	NA	Hdac10
MMT00000241	MMT00008782	0.360963880927421	undirected	NA	NA
MMT00000241	MMT00008908	0.0288992904094623	undirected	NA	Ube2n
MMT00000241	MMT00009278	0.0353344035370182	undirected	NA	NA
MMT00000241	MMT00009375	0.361037082628195	undirected	NA	NA
MMT00000241	MMT00010854	0.303750005381048	undirected	NA	NA
MMT00000241	MMT00011246	0.352823804364511	undirected	NA	NA
MMT00000241	MMT00012632	0.124921998464794	undirected	NA	Eno1
MMT00000241	MMT00013125	0.391185964679045	undirected	NA	LOC14433
MMT00000241	MMT00013398	0.0244313662474419	undirected	NA	Wnt6
MMT00000241	MMT00014416	0.338958102934624	undirected	NA	NA
MMT00000241	MMT00015274	0.448084763421019	undirected	NA	NA
MMT00000241	MMT00015583	0.291657252857718	undirected	NA	NA
MMT00000241	MMT00015935	0.0303943194068564	undirected	NA	NA
MMT00000241	MMT00016022	0.0599200204203517	undirected	NA	Nudt12
MMT00000241	MMT00016981	0.289786718310558	undirected	NA	NA
MMT00000241	MMT00017186	0.163571409900353	undirected	NA	NA
MMT00000241	MMT00017256	0.418179443278621	undirected	NA	LOC14433
MMT00000241	MMT00017480	0.190568698089523	undirected	NA	NA
MMT00000241	MMT00018149	0.330018038182956	undirected	NA	NA
MMT00000241	MMT00018272	0.370256544682451	undirected	NA	NA
MMT00000241	MMT00019310	0.250575838845312	undirected	NA	NA
MMT00000241	MMT00019672	0.318907927798172	undirected	NA	NA
MMT00000241	MMT00020288	0.392855053152129	undirected	NA	NA
MMT00000241	MMT00020302	0.237301701274743	undirected	NA	NA
MMT00000241	MMT00020632	0.291000878680995	undirected	NA	NA
MMT00000241	MMT00020697	0.21467853587824	undirected	NA	NA
MMT00000241	MMT00020962	0.247598095284789	undirected	NA	NA
MMT00000241	MMT00020996	0.337693579129022	undirected	NA	NA
MMT00000241	MMT00021266	0.13720137340826	undirected	NA	Gpsn2
MMT00000241	MMT00022313	0.0271330547338093	undirected	NA	Magea7
MMT00000241	MMT00023382	0.458600481435981	undirected	NA	NA
MMT00000241	MMT00024286	0.352463458904697	undirected	NA	NA
MMT00000241	MMT00025023	0.0431618236456909	undirected	NA	Ucp2
MMT00000241	MMT00025317	0.0415325700814116	undirected	NA	Galm
MMT00000241	MMT00026015	0.332507079810817	undirected	NA	NA
MMT00000241	MMT00027184	0.0359687682147612	undirected	NA	Cd59a
MMT00000241	MMT00027432	0.0251707293113777	undirected	NA	Gsh1
MMT00000241	MMT00027452	0.413135621776423	undirected	NA	NA
MMT00000241	MMT00027453	0.317075365951521	undirected	NA	NA
MMT00000241	MMT00028101	0.119803116288909	undirected	NA	Eno1
MMT00000241	MMT00028230	0.296601827097272	undirected	NA	NA
MMT00000241	MMT00030239	0.235541355131696	undirected	NA	NA
MMT00000241	MMT00031593	0.0588576816973988	undirected	NA	BC032271
MMT00000241	MMT00031955	0.0645345530678714	undirected	NA	NA
