nodeName	altName	nodeAttr[nodesPresent, ]
MMT00046167	Slc16a10	blue
MMT00046250	Lss	blue
MMT00046393	NA	blue
MMT00046492	Tapbp	blue
MMT00046920	Mod1	blue
MMT00046946	Gpi1	blue
MMT00046994	Fads1	blue
MMT00047022	NA	blue
MMT00047131	Nek11	blue
MMT00047381	NA	blue
MMT00047560	Zdhhc6	blue
MMT00047678	Chrm5	blue
MMT00047901	LOC14433	blue
MMT00048272	LOC14433	blue
MMT00048501	Acac	blue
MMT00048665	NA	blue
MMT00048682	Klf3	blue
MMT00048729	Klf13	blue
MMT00048812	NA	blue
MMT00048830	NA	blue
MMT00049029	LOC14433	blue
MMT00049130	NA	blue
MMT00049213	NA	blue
MMT00049308	NA	blue
MMT00049472	NA	blue
MMT00050488	NA	blue
MMT00050817	NA	blue
MMT00050838	Mlf2	blue
MMT00050881	Aacs	blue
MMT00051462	NA	blue
MMT00051699	Tcn2	blue
MMT00051826	D10Jhu81e	blue
MMT00051968	NA	blue
MMT00051995	Gulo	blue
MMT00052210	NA	blue
MMT00052902	NA	blue
MMT00052924	Paox	blue
MMT00053164	S100a11	blue
MMT00053214	NA	blue
MMT00053283	Thrsp	blue
MMT00053523	Dhcr7	blue
MMT00053707	NA	blue
MMT00054019	Hoxa10	blue
MMT00054037	NA	blue
MMT00054062	NA	blue
MMT00054102	1700007H16Rik	blue
MMT00054175	NA	blue
MMT00054192	NA	blue
MMT00054225	Slc25a1	blue
MMT00054244	NA	blue
MMT00054325	Abca1	blue
MMT00054501	Mvd	blue
MMT00054728	NA	blue
MMT00055016	NA	blue
MMT00055457	Apg4a	blue
MMT00055680	Etnk2	blue
MMT00056256	Ephx1	blue
MMT00056821	Klf15	blue
MMT00056865	Gbp3	blue
MMT00057115	D530020C15Rik	blue
MMT00057439	NA	blue
MMT00057721	NA	blue
MMT00057734	Ddx27	blue
MMT00057793	NA	blue
MMT00057809	BC011209	blue
MMT00058428	NA	blue
MMT00058519	Pdcd6ip	blue
MMT00058679	1810044O22Rik	blue
MMT00058696	Hoxd11	blue
MMT00059097	Sc4mol	blue
MMT00059312	Msh4	blue
MMT00059439	Ass1	blue
MMT00059870	NA	blue
MMT00060232	NA	blue
MMT00060321	NA	blue
MMT00060569	Gstm6	blue
MMT00061431	Erh	blue
MMT00061598	NA	blue
MMT00061944	Scarb1	blue
MMT00062045	Ywhah	blue
MMT00062090	AI481100	blue
MMT00062394	NA	blue
MMT00062445	NA	blue
MMT00062559	NA	blue
MMT00062628	9130227C08Rik	blue
MMT00062691	NA	blue
MMT00063091	NA	blue
MMT00063259	NA	blue
MMT00063655	NA	blue
MMT00063965	Qdpr	blue
MMT00064033	Fus	blue
MMT00065054	NA	blue
MMT00065419	NA	blue
MMT00065461	NA	blue
MMT00065577	NA	blue
MMT00065736	Cyp2b9	blue
MMT00065790	Eno1	blue
MMT00066464	NA	blue
MMT00066627	1810013B01Rik	blue
MMT00067207	NA	blue
MMT00067261	Serpinf2	blue
MMT00067282	NA	blue
MMT00067295	NA	blue
MMT00067322	NA	blue
MMT00067853	D11Wsu68e	blue
MMT00068222	Pcsk9	blue
MMT00068427	NA	blue
MMT00068456	NA	blue
MMT00068464	NA	blue
MMT00069238	Ung	blue
MMT00069495	NA	blue
MMT00069557	1700025B16Rik	blue
MMT00069610	Hoxc12	blue
MMT00069683	Acat2	blue
MMT00071096	NA	blue
MMT00071217	Ap2m1	blue
MMT00071535	Cyp51	blue
MMT00071569	NA	blue
MMT00071651	S100a11	blue
MMT00071655	Ncoa4	blue
MMT00072013	NA	blue
MMT00072366	Rpl29	blue
MMT00072546	NA	blue
MMT00072582	D10Bur2e	blue
MMT00072612	Gjb2	blue
MMT00072782	Gpi1	blue
MMT00072901	Rnu22	blue
MMT00073174	Pfn1	blue
MMT00073452	NA	blue
MMT00073733	NA	blue
MMT00073890	Mlf2	blue
MMT00074099	NA	blue
MMT00074126	NA	blue
MMT00074377	NA	blue
